server_resp_timef,bd_timef,cpu_usage,memory_usage
0.2545642852783203,0.15384292602539062,0.0,0.0260162353515625
0.10138750076293945,0.0004622936248779297,32.5,0.027496337890625
0.10165619850158691,0.0006856918334960938,32.4,0.027496337890625
0.10161948204040527,0.0006692409515380859,18.2,0.027496337890625
0.10163474082946777,0.0006535053253173828,23.5,0.027496337890625
0.10160446166992188,0.0006682872772216797,25.7,0.027496337890625
0.10165095329284668,0.0006859302520751953,11.8,0.027496337890625
0.1015939712524414,0.0006361007690429688,22.9,0.027496337890625
0.10163259506225586,0.0006651878356933594,24.2,0.027496337890625
0.10161614418029785,0.0006611347198486328,19.4,0.027496337890625
0.10161280632019043,0.00063323974609375,27.8,0.027496337890625
0.10168814659118652,0.0007069110870361328,34.2,0.027496337890625
0.10164165496826172,0.0006806850433349609,14.7,0.027496337890625
0.10146880149841309,0.0007157325744628906,17.1,0.027496337890625
0.10130977630615234,0.0005376338958740234,18.2,0.027496337890625
0.10148835182189941,0.0006983280181884766,33.3,0.027496337890625
0.10141301155090332,0.000652313232421875,17.1,0.027496337890625
0.10136914253234863,0.0006246566772460938,31.6,0.027496337890625
0.10134196281433105,0.0006496906280517578,9.4,0.027496337890625
0.10139346122741699,0.0006375312805175781,26.3,0.027496337890625
0.10148119926452637,0.0006732940673828125,31.6,0.027496337890625
0.10148048400878906,0.0006437301635742188,26.3,0.027496337890625
0.10117769241333008,0.00044345855712890625,40.0,0.027496337890625
0.10134172439575195,0.0006308555603027344,14.7,0.027496337890625
0.10170865058898926,0.0006773471832275391,41.0,0.027496337890625
0.10181975364685059,0.0008265972137451172,50.0,0.027496337890625
0.10170197486877441,0.0006933212280273438,30.8,0.027496337890625
0.10171079635620117,0.0006930828094482422,36.6,0.027496337890625
0.10167813301086426,0.0006821155548095703,50.0,0.027496337890625
0.10168218612670898,0.0006613731384277344,33.3,0.027496337890625
0.10169744491577148,0.0006935596466064453,38.9,0.027496337890625
0.1016545295715332,0.0006504058837890625,25.6,0.027496337890625
0.1011970043182373,0.0004749298095703125,40.0,0.027496337890625
0.10188794136047363,0.0011477470397949219,25.0,0.027496337890625
0.1014547348022461,0.0006384849548339844,23.7,0.027496337890625
0.10145807266235352,0.0006413459777832031,35.9,0.027496337890625
0.10159969329833984,0.0006246566772460938,45.9,0.027496337890625
0.10147809982299805,0.0006651878356933594,32.4,0.027496337890625
0.10117769241333008,0.0004780292510986328,27.5,0.027496337890625
0.10151124000549316,0.0006883144378662109,22.9,0.027496337890625
0.10146832466125488,0.0006396770477294922,56.4,0.027496337890625
0.10219120979309082,0.0011467933654785156,35.9,0.027496337890625
0.10149860382080078,0.0006210803985595703,21.2,0.027496337890625
0.10149407386779785,0.0006339550018310547,15.6,0.027496337890625
0.1013329029083252,0.0004782676696777344,6.1,0.027496337890625
0.1014871597290039,0.0006365776062011719,15.2,0.027496337890625
0.10152006149291992,0.0006129741668701172,25.7,0.027496337890625
0.10170626640319824,0.0006632804870605469,6.3,0.027496337890625
0.10158753395080566,0.0005822181701660156,18.2,0.027496337890625
0.1015176773071289,0.0006563663482666016,28.6,0.027496337890625
0.10133051872253418,0.0004680156707763672,11.8,0.027496337890625
0.10145258903503418,0.0006406307220458984,29.7,0.027496337890625
0.1014401912689209,0.0006306171417236328,16.2,0.027496337890625
